#{"t_start": 1758931205.5709074, "env_id": "None"}
r,l,t,success,distance
-132.121155,500,5.76772,False,0.19880369305610657
-193.714017,500,7.26967,False,0.3594728708267212
-139.696846,500,8.837043,False,0.22580313682556152
-103.233821,500,10.319189,False,0.14391598105430603
-87.478335,500,11.80258,False,0.09839285910129547
-117.421874,500,71.969918,False,0.12435363978147507
-160.362625,500,146.732659,False,0.21949894726276398
-138.403455,500,231.198062,False,0.25390368700027466
-132.641461,500,303.095471,False,0.23261763155460358
-125.519156,500,372.917349,False,0.11711693555116653
-119.639431,500,441.884913,False,0.15954186022281647
-108.221853,500,505.619519,False,0.13121218979358673
-109.437408,500,573.47631,False,0.13276945054531097
-25.794762,125,590.615172,True,0.04887915402650833
-132.198372,500,652.536414,False,0.17029137909412384
-24.677623,215,678.606927,True,0.04929310828447342
-13.730962,107,692.65138,True,0.04847755283117294
-110.151669,500,755.177788,False,0.0812285915017128
-55.835242,403,807.906398,True,0.04802635312080383
-1.516261,47,814.701261,True,0.04774715006351471
-113.370204,500,880.671299,False,0.12458675354719162
-23.232249,183,903.434649,True,0.0496695302426815
0.54774,31,907.518113,True,0.04520152881741524
-57.843745,296,944.117989,True,0.047237638384103775
-22.907615,193,968.338881,True,0.0492260679602623
-0.429823,31,972.404829,True,0.04855409637093544
-32.067098,236,1002.505123,True,0.04844629764556885
-12.203148,98,1014.715633,True,0.049987733364105225
-40.134079,216,1042.847049,True,0.049447983503341675
-15.351401,149,1061.22519,True,0.04967452213168144
-10.502727,113,1075.438525,True,0.04766235873103142
-12.13137,104,1089.533172,True,0.04992379993200302
-5.003435,48,1095.573375,True,0.04943077638745308
-20.026813,130,1111.920556,True,0.04941389709711075
-43.563808,260,1145.076491,True,0.049148328602313995
-58.990925,345,1189.788821,True,0.048605356365442276
-15.479178,146,1208.174305,True,0.048665016889572144
-18.608993,113,1222.478046,True,0.04906390607357025
-7.341947,92,1234.635162,True,0.04711044207215309
-30.054771,151,1253.066622,True,0.049910448491573334
2.170598,22,1255.159715,True,0.04900500923395157
-13.365918,92,1267.408845,True,0.04816977307200432
-4.391261,59,1275.683931,True,0.04437360167503357
-21.360932,154,1294.099923,True,0.049914807081222534
-9.220054,73,1304.234089,True,0.04779116064310074
-3.290187,53,1310.392751,True,0.04963463544845581
-21.615303,101,1324.672996,True,0.04775406792759895
-24.793966,121,1339.066818,True,0.049262773245573044
-96.833498,500,1402.632175,False,0.09717411547899246
-27.569831,149,1423.12983,True,0.04941820725798607
-4.591555,73,1431.37865,True,0.04857097566127777
-3.177225,56,1439.527437,True,0.048795588314533234
