#{"t_start": 1758885311.2524009, "env_id": "None"}
r,l,t,success,distance
-157.202448,500,3.557184,False,0.23917938768863678
-137.800693,500,4.971847,False,0.22497186064720154
-147.659198,500,6.399866,False,0.2377648502588272
-117.649494,500,7.826369,False,0.207529678940773
-1.171935,54,7.987252,True,0.04843303561210632
-209.978708,500,14.845077,False,0.36873331665992737
-135.851748,500,74.997195,False,0.34827667474746704
-126.062663,500,138.387421,False,0.1329323947429657
-138.497216,500,211.236854,False,0.24274016916751862
-132.110904,500,290.295245,False,0.18966463208198547
-37.872274,326,336.799474,True,0.04804091900587082
-75.607083,500,412.346335,False,0.08841365575790405
-85.857452,500,487.275908,False,0.11068838089704514
-20.076642,124,506.433945,True,0.04731489345431328
-20.921132,98,520.882916,True,0.04924251139163971
-25.958495,116,538.245193,True,0.04893042519688606
-45.082364,221,572.533443,True,0.04916553199291229
-104.819768,500,649.12517,False,0.12877728044986725
-10.698368,100,664.217396,True,0.04817328602075577
0.648601,30,669.206604,True,0.04812930151820183
-7.994617,72,680.938121,True,0.04902349412441254
-7.839697,80,692.367636,True,0.049719348549842834
-43.265427,289,735.072331,True,0.04943027347326279
-16.634207,143,755.996644,True,0.04804740101099014
-139.548044,500,839.234622,False,0.13614904880523682
-82.538472,500,913.888442,False,0.1015193909406662
-90.705756,500,996.883837,False,0.07150326669216156
-15.271848,165,1020.5913,True,0.04877910390496254
-14.246819,121,1037.402357,True,0.04810161888599396
-17.844703,104,1055.310701,True,0.04895537719130516
-25.120193,212,1087.249884,True,0.049962326884269714
-1.226121,44,1094.998446,True,0.04910777509212494
-149.508616,500,1266.408403,False,0.10895412415266037
-29.381007,148,1347.704138,True,0.048773638904094696
-5.026106,73,1388.864788,True,0.04916912317276001
-59.202565,461,1710.213273,True,0.04827383533120155
-52.187397,292,1910.734726,True,0.04988868162035942
-61.340354,445,2187.382623,True,0.04955635219812393
-17.116691,211,2310.508134,True,0.04882480949163437
3.676993,11,2319.733686,True,0.049717098474502563
-22.317079,80,2368.644209,True,0.04480714350938797
4.873554,1,2368.738659,True,0.04621565714478493
-3.24847,58,2398.145265,True,0.04876887425780296
