#{"t_start": 1758272215.373317, "env_id": null}
r,l,t,success,distance
-117.063366,500,244.717942,False,0.19116200506687164
-103.389565,500,244.934852,False,0.17213866114616394
-110.114186,500,245.145564,False,0.18387828767299652
1.921299,24,245.158962,True,0.049238983541727066
-82.460159,500,245.442162,False,0.13351325690746307
-116.793753,500,245.667823,False,0.17176659405231476
-63.582847,500,245.890794,False,0.09191764146089554
-100.958971,500,246.109318,False,0.14512908458709717
-58.785594,424,246.293495,True,0.04956416040658951
-128.353922,500,246.598451,False,0.24181976914405823
-63.379956,500,616.626101,False,0.07943056523799896
-79.752594,500,616.858926,False,0.1204734593629837
-133.562902,500,617.087931,False,0.2707229256629944
-81.365776,500,617.309319,False,0.05326128751039505
-74.056422,500,617.52621,False,0.10262961685657501
-59.345336,500,617.740051,False,0.06214892491698265
-67.548351,500,617.954884,False,0.1028599739074707
-67.826763,500,618.177695,False,0.10209429264068604
-31.255954,229,618.27668,True,0.04938597232103348
-0.557561,40,618.296632,True,0.049531664699316025
-14.217208,89,984.911187,True,0.04831709712743759
-78.782514,500,985.130502,False,0.11741730570793152
-9.765816,70,985.16359,True,0.04847981780767441
-173.917236,500,985.388442,False,0.3380345404148102
0.077077,32,985.405527,True,0.04816454276442528
-8.204497,73,985.443648,True,0.04953693971037865
-28.665152,127,985.50204,True,0.04764226824045181
-92.876882,500,985.733751,False,0.11287517845630646
-40.108091,409,985.91039,True,0.048879723995923996
4.781599,2,985.914525,True,0.04826442897319794
-29.376529,126,1354.73924,True,0.04831990972161293
4.204898,7,1354.746205,True,0.04683830216526985
-20.038813,137,1354.81992,True,0.049534961581230164
-5.582801,99,1354.866634,True,0.049583595246076584
-3.949504,41,1354.887718,True,0.04603338986635208
-9.003356,85,1354.929726,True,0.049463704228401184
-4.363575,49,1354.954068,True,0.0487649142742157
1.257335,27,1354.968681,True,0.04941776022315025
-4.314403,53,1354.99364,True,0.04919690266251564
-9.055309,77,1355.030133,True,0.0483369417488575
1.660856,24,1725.160337,True,0.0499093122780323
-12.133963,79,1725.198208,True,0.04939540475606918
-2.11931,51,1725.224264,True,0.04855776205658913
1.893378,22,1725.23961,True,0.04802742600440979
2.281292,21,1725.252839,True,0.04939776659011841
3.78749,12,1725.261654,True,0.04884907603263855
2.748811,17,1725.272793,True,0.0472276546061039
-10.916749,89,1725.317634,True,0.04877423122525215
-16.996897,75,1725.357007,True,0.04939073696732521
-0.142572,27,1725.371797,True,0.0445048026740551
-7.550787,83,1726.232343,True,0.0497012585401535
-4.836057,55,1726.260178,True,0.04828125983476639
-5.987304,79,1726.296195,True,0.04992876201868057
-0.056659,33,1726.313253,True,0.04847865179181099
-13.663987,114,1726.363144,True,0.04842159152030945
1.955962,22,1726.375051,True,0.04949575662612915
-2.782807,50,1726.398231,True,0.04752994328737259
-0.842928,45,1726.419309,True,0.048751428723335266
-8.780939,97,1726.461398,True,0.04890970513224602
-2.806085,47,1726.483057,True,0.04918024688959122
.049939993768930435
