#{"t_start": 1758272215.036048, "env_id": null}
r,l,t,success,distance
-120.307504,500,1.50378,False,0.11727709323167801
-163.699187,500,1.983748,False,0.27611348032951355
-69.803921,500,2.461668,False,0.05238385125994682
-120.443148,500,2.946629,False,0.2188296616077423
-45.675786,365,3.315621,True,0.04790972173213959
-180.346915,500,21.02879,False,0.3252817690372467
-142.461501,500,44.61713,False,0.21643473207950592
-133.041311,500,68.057991,False,0.1442977786064148
-69.581012,345,84.978472,True,0.04920078441500664
-0.764198,44,86.530948,True,0.04972521960735321
-3.831825,83,91.08678,True,0.04991181567311287
-81.683556,371,108.742147,True,0.04997016489505768
-83.919527,500,132.558117,False,0.12615646421909332
-71.089133,500,156.501917,False,0.14052683115005493
-117.37015,500,181.01372,False,0.17196090519428253
-110.246037,500,206.23705,False,0.24908025562763214
-119.554426,500,230.576713,False,0.2917355000972748
-132.956396,500,257.49462,False,0.1977565437555313
-18.952163,167,266.135293,True,0.04969979450106621
-39.399649,247,277.915323,True,0.047871608287096024
-101.070995,500,302.613077,False,0.16614526510238647
-41.076468,289,316.804376,True,0.04790475592017174
-88.424852,500,342.01177,False,0.08590086549520493
-98.191531,500,366.438238,False,0.16459275782108307
-157.128925,500,390.828609,False,0.28206804394721985
-68.745066,500,415.31501,False,0.10254508256912231
-79.209879,500,440.989024,False,0.07306026667356491
-110.763825,500,465.421211,False,0.21853333711624146
-124.66225,500,489.885195,False,0.16851145029067993
-11.411101,126,496.165236,True,0.04955754056572914
4.883501,1,496.169932,True,0.049767106771469116
-75.469698,500,520.66946,False,0.07930192351341248
-55.469621,500,545.861329,False,0.06266862899065018
-113.503952,500,569.932938,False,0.2573190927505493
-69.606714,500,594.09869,False,0.08665775507688522
-14.694028,100,598.766215,True,0.04866500943899155
-14.112801,115,605.026902,True,0.04938502237200737
-113.191627,500,631.148691,False,0.19078274071216583
-97.452771,500,655.501778,False,0.14577236771583557
-93.208376,500,679.67211,False,0.09470921754837036
-77.382205,500,704.683481,False,0.12319529801607132
-65.711155,474,727.28667,True,0.04936051368713379
-87.148126,500,751.42897,False,0.1373094767332077
-93.040438,500,776.592899,False,0.14905419945716858
-7.900667,68,779.750115,True,0.04729652777314186
-101.051184,500,803.930104,False,0.07921629399061203
-73.244684,500,828.09394,False,0.05498690530657768
-145.137662,500,852.975694,False,0.2507249414920807
-8.925201,95,857.661753,True,0.049732472747564316
-10.429047,65,860.783014,True,0.04861599951982498
-4.357071,54,863.132398,True,0.04959674924612045
-97.048405,500,887.50548,False,0.15136156976222992
-8.76114,81,891.52196,True,0.048849333077669144
1.5295,29,893.121584,True,0.0496203750371933
-38.650404,226,904.075631,True,0.04936812072992325
-8.098317,92,908.833432,True,0.04789993166923523
-4.056839,48,911.166114,True,0.04957455396652222
-15.684825,99,915.816943,True,0.048996977508068085
-5.992587,55,918.931663,True,0.049208153039216995
-140.216234,500,943.098367,False,0.22415928542613983
-20.966668,166,950.884525,True,0.0498066172003746
-19.997915,177,959.439511,True,0.047899097204208374
-3.752232,69,963.35886,True,0.04693111404776573
-68.662405,461,986.288209,True,0.04976271837949753
2.745331,17,987.90007,True,0.049121953547000885
-1.264815,48,990.25172,True,0.04748716205358505
3.315268,13,990.278559,True,0.04822463542222977
2.611202,19,991.817713,True,0.048317864537239075
-9.643581,73,994.982786,True,0.04746153950691223
-126.67426,500,1019.246298,False,0.20454654097557068
-6.002656,61,1022.421098,True,0.049206409603357315
-2.825318,52,1024.762976,True,0.049958646297454834
-136.084042,500,1049.766286,False,0.22611786425113678
-4.45816,63,1052.925001,True,0.04870693013072014
-110.386549,500,1077.21695,False,0.17842808365821838
-9.722113,57,1079.541343,True,0.047581277787685394
1.679684,26,1081.080716,True,0.047971244901418686
-133.929895,500,1105.360361,False,0.2182353436946869
-10.387333,94,1109.985326,True,0.049812186509370804
-111.721683,500,1134.114964,False,0.19680967926979065
0.394426,28,1135.709417,True,0.04973306879401207
-1.775133,43,1138.027812,True,0.049876224249601364
1.783844,24,1138.814161,True,0.049662116914987564
-8.536188,84,1143.464974,True,0.04793662577867508
4.805725,2,1143.473035,True,0.04895037040114403
-1.99926,35,1145.03211,True,0.04766348749399185
-96.815897,500,1169.264417,False,0.16964712738990784
-20.199804,186,1178.680701,True,0.04855553060770035
-11.560102,82,1182.576296,True,0.04807136207818985
-17.699351,96,1187.208887,True,0.04818550497293472
2.762873,18,1187.995806,True,0.048944126814603806
