#{"t_start": 1759313049.0352294, "env_id": "None"}
r,l,t,success,distance
-122.135409,500,13.755835,False,0.3654825985431671
-305.580687,500,18.574027,False,0.5098220705986023
-280.513406,500,22.671144,False,0.4893893003463745
-247.458588,194,24.30552,True,0.047635842114686966
-429.108514,262,26.492042,True,0.0486561544239521
-32.129376,11,26.620003,True,0.04608068987727165
-597.818278,323,29.789061,True,0.04311414062976837
-720.352945,500,200.719897,False,0.44811567664146423
-1117.668035,500,544.033826,False,0.41956326365470886
-1181.722301,500,883.284116,False,0.3692701458930969
-1076.761068,500,1226.691403,False,0.5252803564071655
-671.911608,500,1549.418289,False,0.6674184203147888
-212.625122,500,1719.589814,False,0.38819360733032227
-1124.761224,500,1793.16464,False,0.5317922830581665
-781.410421,500,1868.019871,False,0.6037189960479736
-712.973713,500,1941.511114,False,0.6470897793769836
-162.100653,500,2016.242146,False,0.3074478209018707
-897.018102,500,2089.850375,False,0.26969605684280396
-178.145911,157,2113.981298,True,0.03918749839067459
-140.466485,93,2128.42209,True,0.03370831161737442
-445.239181,302,2173.357524,True,0.040560852736234665
-1303.251075,500,2247.323182,False,0.5940569043159485
-698.030211,500,2321.314328,False,0.5488598346710205
-29.9849,10,2323.652866,True,0.043142903596162796
-637.639954,500,2396.916747,False,0.2887101173400879
-106.965646,95,2411.019145,True,0.021663278341293335
-20.932302,27,2415.539087,True,0.03355243057012558
-775.854917,500,2488.279955,False,0.28523850440979004
-310.507962,500,2562.238951,False,0.44776225090026855
-1033.984108,500,2637.682478,False,0.4968349039554596
-1159.181135,500,2722.717146,False,0.45289626717567444
1.585929,1,2722.811382,True,0.04328310117125511
-942.624084,500,2802.211193,False,0.5992430448532104
-136.820021,56,2811.982239,True,0.0357409343123436
-54.084539,33,2816.823125,True,0.03448750823736191
-672.089879,260,2855.752572,True,0.04603398218750954
-932.239314,500,2929.779942,False,0.24056173861026764
-223.283401,74,2941.659552,True,0.039853405207395554
-1133.896277,500,3016.227386,False,0.4502624273300171
-129.544044,109,3033.067892,True,0.04094161465764046
-337.550859,500,3107.344548,False,0.31221485137939453
-1089.826098,500,3208.262271,False,0.5755115151405334
-684.908385,500,3285.179735,False,0.39476749300956726
-169.71879,68,3294.918174,True,0.04733087122440338
-301.09793,340,3346.143663,True,0.03337499499320984
-287.838981,500,3420.991142,False,0.21105200052261353
-90.260889,44,3428.488264,True,0.035514410585165024
-779.955785,500,3503.436028,False,0.4086276888847351
-608.379549,500,3580.677938,False,0.1927500069141388
-336.095076,116,3598.235053,True,0.03464291989803314
-226.603866,116,3615.25096,True,0.04261331632733345
-1190.489967,500,3690.565062,False,0.46847307682037354
-876.489239,500,3768.00755,False,0.4509564936161041
-523.440755,500,3842.387081,False,0.45745137333869934
-195.94419,500,3918.093903,False,0.2766093313694
-1082.65081,500,3992.835052,False,0.6945319175720215
-110.765,40,3999.962401,True,0.03989905118942261
-600.233176,500,4076.205699,False,0.18988268077373505
-484.163184,500,4150.612025,False,0.585059642791748
-1378.049719,500,4227.328449,False,0.2939234972000122
-534.416525,197,4256.147895,True,0.044633641839027405
-896.845826,500,4331.0786,False,0.1671510934829712
-967.188551,500,4406.383051,False,0.5586869120597839
-995.020227,500,4483.062006,False,0.31370919942855835
-183.787406,500,4559.272101,False,0.42285776138305664
-211.011526,109,4576.414404,True,0.042286116629838943
-365.42595,500,4653.182355,False,0.6946840882301331
-963.248192,500,4727.830018,False,0.4194355607032776
-473.337214,500,4804.4193,False,0.2919462323188782
-552.012129,500,4879.902084,False,0.28647154569625854
-23.30203,15,4882.310443,True,0.028049960732460022
-230.151627,500,4958.550767,False,0.4434913992881775
-583.804377,222,4993.165362,True,0.0497659370303154
-1052.059078,500,5070.438862,False,0.3099755644798279
-1595.292594,500,5147.060354,False,0.45045560598373413
-1093.116858,500,5224.870021,False,0.31475377082824707
-759.523553,500,5300.073284,False,0.3460926413536072
-183.805374,500,5375.7708,False,0.34430405497550964
-236.501917,500,5450.977844,False,0.4543304145336151
-591.240895,500,5549.377937,False,0.4068148732185364
-583.022704,500,5624.50927,False,0.3963881731033325
-711.207104,337,5674.72842,True,0.04474366828799248
-571.075981,500,5750.049405,False,0.32568830251693726
-146.144469,51,5757.36373,True,0.04057854413986206
-755.324766,500,5835.054969,False,0.5535935163497925
-689.505995,500,5910.912363,False,0.38785308599472046
-289.37935,500,5986.050316,False,0.40611422061920166
-405.780533,500,6061.153288,False,0.3814912736415863
-176.892039,500,6138.151038,False,0.18554802238941193
-177.468551,500,6213.758227,False,0.131222665309906
-67.724018,120,6230.926169,True,0.032510850578546524
-39.448313,180,6259.944191,True,0.049902915954589844
-373.359633,500,6336.621277,False,0.34994348883628845
-451.655278,500,6411.730173,False,0.3985702097415924
-388.553596,500,6487.088074,False,0.36446815729141235
-199.684859,500,6563.310649,False,0.42889851331710815
-220.413627,500,6637.518191,False,0.5236599445343018
-253.797834,500,6712.892301,False,0.4696543216705322
-276.238054,500,6788.859218,False,0.5305964946746826
-187.466319,500,6866.544892,False,0.38745081424713135
-356.619795,500,6942.017772,False,0.3552646338939667
-316.280721,500,7016.870632,False,0.5712761282920837
-505.215358,500,7092.296208,False,0.5556859374046326
