#{"t_start": 1759379703.3522868, "env_id": "None"}
r,l,t,success,distance
-237.631363,500,15.519472,False,0.48707517981529236
-293.833384,500,38.295531,False,0.5374871492385864
-158.500304,500,55.154478,False,0.36058488488197327
-249.318594,500,68.891573,False,0.35615622997283936
-330.133926,500,79.773772,False,0.18705902993679047
-211.427636,500,172.214225,False,0.5296120643615723
-297.109241,500,245.770108,False,0.5361850261688232
-219.92136,500,322.633761,False,0.21967020630836487
-232.187123,500,400.219799,False,0.36472758650779724
-336.536461,500,475.050559,False,0.18881841003894806
1.243823,32,480.153142,True,0.04829581826925278
-372.218722,500,562.577408,False,0.42243823409080505
-166.775301,139,585.761442,True,0.04991603642702103
-642.94337,500,662.668733,False,0.6049308776855469
-294.3319,261,708.614354,True,0.03757596015930176
-60.556699,20,714.071254,True,0.037268731743097305
-1354.951962,500,805.90042,False,0.461093008518219
-49.401066,20,808.845973,True,0.040058135986328125
-658.22894,382,882.735535,True,0.026631711050868034
-1606.812655,500,980.846084,False,0.43679606914520264
-126.180616,500,1078.515866,False,0.24829958379268646
-525.765712,500,1178.447876,False,0.1931002140045166
-194.638199,68,1191.053979,True,0.015124542638659477
-448.833755,500,1286.896223,False,0.42545628547668457
-883.676312,500,1382.404829,False,0.19744570553302765
-220.64105,94,1400.586153,True,0.024159302935004234
-287.137505,500,1500.029634,False,0.6242823004722595
-491.68208,500,1591.186391,False,0.37659794092178345
-424.259203,172,1625.412901,True,0.047028396278619766
-12.059481,21,1628.70621,True,0.049565061926841736
-325.535243,500,1723.609205,False,0.5217656493186951
-213.145632,500,1810.562281,False,0.44135987758636475
-205.052278,500,1898.378702,False,0.4401368200778961
-332.288902,500,1984.184022,False,0.1672469973564148
-243.462892,500,2070.781161,False,0.508857011795044
-236.796408,500,2165.66638,False,0.42867153882980347
-329.921003,500,2256.951395,False,0.17387624084949493
-93.520484,500,2398.158874,False,0.21337009966373444
-302.517821,500,2491.634402,False,0.38579821586608887
-234.415811,500,2583.093959,False,0.33978787064552307
-122.081198,500,2671.694396,False,0.27263808250427246
-148.343304,500,2766.307183,False,0.241409033536911
-229.591645,500,2860.733309,False,0.33167630434036255
-242.74029,500,2951.302263,False,0.4479358196258545
-153.192469,500,3041.487556,False,0.32860758900642395
-284.517826,500,3124.658647,False,0.3528751730918884
-211.871096,500,3210.408566,False,0.32855966687202454
-169.380234,500,3297.51468,False,0.35830068588256836
-11.730767,17,3300.251121,True,0.046329315751791
-437.917944,500,3385.023611,False,0.5758324861526489
-346.31034,500,3470.592023,False,0.48491188883781433
-226.343427,500,3556.46479,False,0.46190541982650757
-265.983605,500,3649.194682,False,0.44182318449020386
-304.481987,500,3734.037578,False,0.43408912420272827
-831.812294,495,3819.028389,True,0.043607197701931
-43.119644,71,3830.153135,True,0.04630414396524429
-439.322184,500,3917.976783,False,0.4647044241428375
-111.909877,51,3928.855713,True,0.046912722289562225
-213.092176,500,4019.405568,False,0.384782999753952
-361.998036,231,4060.813431,True,0.0362592376768589
-138.752717,72,4074.08153,True,0.04774617403745651
-1058.400713,500,4157.430995,False,0.6945183873176575
-1475.484673,500,4243.1196,False,0.3973540663719177
-92.790289,500,4330.192993,False,0.23057158291339874
-1040.190066,500,4417.417677,False,0.44091132283210754
-323.404374,212,4453.282654,True,0.030897770076990128
-905.954674,320,4508.01128,True,0.020021812990307808
-616.639863,443,4585.010505,True,0.016028154641389847
-1545.301419,500,4670.739129,False,0.39959320425987244
-996.788813,500,4757.06628,False,0.4757910966873169
-792.103858,500,4845.717489,False,0.2477979063987732
-764.717859,500,4933.082829,False,0.2698615789413452
-1477.297397,500,5078.139882,False,0.6345226764678955
-1396.075888,500,5173.054697,False,0.6067362427711487
-872.84225,500,5263.116729,False,0.23542046546936035
-20.581524,7,5263.413877,True,0.031145283952355385
-320.849089,500,5350.491492,False,0.35598117113113403
-659.336378,500,5439.144293,False,0.38000524044036865
-612.457392,500,5528.177758,False,0.46270960569381714
-1065.791019,500,5616.752254,False,0.39381319284439087
-1515.500064,500,5704.316217,False,0.23164616525173187
-341.852596,500,5791.05741,False,0.3483315110206604
-632.330824,500,5879.827017,False,0.32850003242492676
-391.48324,500,5966.227206,False,0.5775338411331177
-133.569253,323,6021.941051,True,0.0442233681678772
-209.155333,500,6108.488088,False,0.20957954227924347
-254.258275,500,6200.839023,False,0.5333174467086792
-235.90032,265,6245.094651,True,0.04836328700184822
-292.82752,500,6331.197623,False,0.32273074984550476
-8.581489,18,6336.724407,True,0.03220056742429733
-153.517753,217,6375.824026,True,0.028177274391055107
-289.23106,500,6465.20425,False,0.37994009256362915
-207.039993,500,6554.477738,False,0.48678305745124817
-231.760618,500,6640.50355,False,0.5038551688194275
-220.105116,500,6729.687911,False,0.32222023606300354
-304.217042,500,6814.668557,False,0.27833595871925354
-303.980331,500,6903.800104,False,0.40983372926712036
-276.572158,500,6990.357819,False,0.3034595847129822
-418.677217,362,7056.417984,True,0.03625280037522316
-780.604984,500,7145.809623,False,0.2715820074081421
-203.997365,107,7164.071071,True,0.04982226714491844
-261.513351,500,7257.057001,False,0.31141912937164307
-609.921161,500,7347.089665,False,0.24857835471630096
-738.593969,500,7436.977288,False,0.26035064458847046
-1521.86468,500,7523.814343,False,0.33794140815734863
-211.590466,204,7560.643346,True,0.048081353306770325
-572.965022,259,7605.842594,True,0.04756840690970421
-304.418614,238,7648.792775,True,0.04585161805152893
