#{"t_start": 1758957836.1858435, "env_id": "None"}
r,l,t,success,distance
-71.940842,500,5.056867,False,0.13926571607589722
-160.983075,500,6.6117,False,0.30302929878234863
-140.781823,500,8.178165,False,0.3129660487174988
-172.572397,500,9.79152,False,0.2850876450538635
-156.288591,500,11.383799,False,0.2619832158088684
-142.482736,500,72.197764,False,0.2457370162010193
-169.867183,500,123.885252,False,0.27386927604675293
-122.237441,500,176.872171,False,0.1310478001832962
-127.155801,500,230.844845,False,0.2416679412126541
-107.719083,500,284.939897,False,0.13416948914527893
-109.540521,500,345.302899,False,0.21059858798980713
-5.804696,59,354.077218,True,0.048964280635118484
0.8194,38,358.4831,True,0.04975215718150139
-179.270704,500,428.164132,False,0.40057751536369324
-210.475614,500,495.931319,False,0.38118988275527954
-109.749516,500,563.457974,False,0.09676515311002731
-127.015906,500,630.868667,False,0.1100248396396637
-19.945086,138,650.531466,True,0.04638560861349106
-101.938332,500,717.956346,False,0.2998562157154083
-10.548293,63,726.607519,True,0.04972667992115021
1.744946,24,730.879249,True,0.04702627658843994
-99.373874,500,798.450681,False,0.19411499798297882
-89.4263,500,866.094718,False,0.14011849462985992
-87.803151,500,933.371509,False,0.08806543797254562
-84.731955,500,1002.843114,False,0.13840380311012268
-6.986851,90,1013.713832,True,0.049914341419935226
-63.553847,434,1072.602801,True,0.04989935830235481
-97.109298,500,1142.045922,False,0.07661041617393494
-25.604055,138,1159.312976,True,0.04762239754199982
-17.145556,179,1183.469867,True,0.04858862981200218
-125.276689,500,1253.295742,False,0.23227207362651825
-16.212858,122,1268.523952,True,0.04792936146259308
-51.543085,283,1307.595777,True,0.04972924664616585
-8.169491,99,1320.860464,True,0.04911787062883377
-69.040436,323,1365.244733,True,0.047875501215457916
-90.643741,388,1419.433642,True,0.04943830147385597
0.274599,25,1421.713562,True,0.04956503584980965
-36.640957,137,1441.135285,True,0.0452890545129776
-17.356171,162,1463.011482,True,0.04603349789977074
-15.150143,93,1476.121824,True,0.04964616149663925
-6.705925,75,1485.01103,True,0.04623187333345413
-10.191471,92,1498.133347,True,0.04831019043922424
-17.665023,99,1511.290918,True,0.04749322682619095
-73.24863,500,1581.089827,False,0.15620659291744232
-33.177945,254,1614.120234,True,0.04864621162414551
-17.040104,97,1627.306749,True,0.04940127581357956
-2.753178,41,1633.950455,True,0.0482904352247715
-103.028727,498,1707.429693,True,0.04987788945436478
-106.551659,499,1775.679341,True,0.04912946745753288
-3.407939,59,1784.431377,True,0.04853527247905731
-16.328167,117,1799.86806,True,0.048054296523332596
-88.555163,478,1865.84146,True,0.046752046793699265
-54.853524,367,1916.512062,True,0.04930774122476578
-18.576948,97,1929.586188,True,0.047305453568696976
-70.671066,500,1998.176295,False,0.06283935159444809
-6.28899,53,2006.850372,True,0.04729851707816124
-16.844053,101,2020.185161,True,0.04809404909610748
-25.375483,134,2037.726243,True,0.04996252804994583
-12.615486,73,2048.625527,True,0.049968086183071136
-64.056809,440,2110.166258,True,0.04997376352548599
-2.798995,65,2118.981516,True,0.04963298887014389
2.863358,16,2121.266322,True,0.04867368936538696
-57.023185,488,2187.934847,True,0.048471417278051376
-16.933993,83,2199.039235,True,0.04804325848817825
-1.105504,36,2205.461694,True,0.04746166989207268
-12.756425,92,2216.542933,True,0.049619220197200775
-31.206185,145,2236.204313,True,0.0477525033056736
-5.160793,50,2242.811027,True,0.049957893788814545
-18.882089,167,2267.187337,True,0.0495852492749691
