epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.984,1.3591,1.51863,1.45436,0.33126,0.29013,0.26886,0.14094,1.53,2.02372,1.615,0.0670692,0.000332635,0.000332635
2,212.625,1.33863,1.32228,1.44937,0.35174,0.3376,0.32704,0.18574,1.5473,2.15382,1.61032,0.0340626,0.000659375,0.000659375
3,313.006,1.32646,1.30249,1.4345,0.37333,0.29878,0.30997,0.16216,1.36966,2.25834,1.48112,0.0010494,0.000979515,0.000979515
4,411.257,1.26672,1.17331,1.38354,0.2958,0.38291,0.34131,0.20939,1.39847,1.55386,1.49014,0.0009703,0.0009703,0.0009703
5,511.187,1.2242,1.08596,1.35376,0.3441,0.3081,0.27488,0.16622,1.42773,1.93622,1.55673,0.0009604,0.0009604,0.0009604
6,606.88,1.18192,1.01664,1.3234,0.54513,0.35687,0.43086,0.2744,1.34796,1.50904,1.46841,0.0009505,0.0009505,0.0009505
7,706.96,1.14457,0.96612,1.30018,0.41825,0.46427,0.42018,0.25432,1.32838,1.30348,1.42912,0.0009406,0.0009406,0.0009406
8,805.939,1.10786,0.91026,1.27931,0.54556,0.43217,0.43125,0.26539,1.36877,1.62035,1.52104,0.0009307,0.0009307,0.0009307
9,903.672,1.09356,0.87523,1.26753,0.45498,0.42103,0.3996,0.23982,1.32426,1.41493,1.40091,0.0009208,0.0009208,0.0009208
10,1001.92,1.07616,0.82934,1.24979,0.38619,0.40738,0.37641,0.23292,1.37194,1.53747,1.47633,0.0009109,0.0009109,0.0009109
11,1100.6,1.06553,0.81539,1.24575,0.52242,0.41766,0.477,0.3119,1.263,1.1488,1.3501,0.000901,0.000901,0.000901
12,1200.71,1.05054,0.79465,1.23429,0.42272,0.41106,0.39961,0.25798,1.27363,1.27574,1.38263,0.0008911,0.0008911,0.0008911
13,1303.1,1.03353,0.77362,1.22556,0.45338,0.4008,0.45035,0.28031,1.33353,1.31495,1.41358,0.0008812,0.0008812,0.0008812
14,1403.01,1.01331,0.75042,1.21432,0.52335,0.34161,0.42899,0.26695,1.30366,1.43458,1.38807,0.0008713,0.0008713,0.0008713
15,1502.48,1.01552,0.72706,1.21277,0.50425,0.42191,0.42693,0.27645,1.24942,1.15432,1.34967,0.0008614,0.0008614,0.0008614
