epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,1602.51,1.00132,0.72491,1.20384,0.4421,0.4308,0.4108,0.2594,1.36423,1.51662,1.46339,0.0008515,0.0008515,0.0008515
17,1700.55,0.99134,0.70808,1.19028,0.45763,0.41793,0.42973,0.27597,1.36061,1.28328,1.39755,0.0008416,0.0008416,0.0008416
18,1799.31,0.97758,0.69307,1.18309,0.46614,0.4163,0.42882,0.28093,1.26078,1.49831,1.3932,0.0008317,0.0008317,0.0008317
19,1900.91,0.97468,0.68589,1.1774,0.43626,0.44202,0.45828,0.29787,1.23905,1.47722,1.31195,0.0008218,0.0008218,0.0008218
20,2001.17,0.95262,0.66026,1.16939,0.57847,0.40779,0.46948,0.30357,1.29817,1.15552,1.39977,0.0008119,0.0008119,0.0008119
21,2102.02,0.95069,0.65469,1.16878,0.38742,0.37346,0.39387,0.26434,1.29084,1.29288,1.38504,0.000802,0.000802,0.000802
22,2201.77,0.93916,0.63644,1.15494,0.51252,0.43502,0.44085,0.29404,1.23084,1.37438,1.34056,0.0007921,0.0007921,0.0007921
23,2301.05,0.93712,0.63344,1.15868,0.46841,0.4624,0.43548,0.29323,1.22624,1.37751,1.36092,0.0007822,0.0007822,0.0007822
24,2396.44,0.91687,0.61719,1.14728,0.39324,0.36144,0.37553,0.24168,1.3319,1.3039,1.40649,0.0007723,0.0007723,0.0007723
25,2495.59,0.91951,0.61346,1.14465,0.47196,0.47527,0.46144,0.30639,1.19239,1.20033,1.31214,0.0007624,0.0007624,0.0007624
26,2596.72,0.9135,0.59892,1.13659,0.43237,0.49805,0.46548,0.30607,1.31725,1.20722,1.40794,0.0007525,0.0007525,0.0007525
27,2694.14,0.90936,0.59524,1.13743,0.49978,0.42841,0.46017,0.30712,1.23596,1.26578,1.33841,0.0007426,0.0007426,0.0007426
28,2792.66,0.90955,0.58675,1.13491,0.52423,0.39147,0.43972,0.29426,1.25711,1.36539,1.36168,0.0007327,0.0007327,0.0007327
29,2889.75,0.89401,0.58001,1.13116,0.4795,0.42566,0.46928,0.31397,1.20499,1.13783,1.33095,0.0007228,0.0007228,0.0007228
30,2987.45,0.89302,0.5774,1.1288,0.50747,0.45433,0.44426,0.28574,1.30002,1.22065,1.36947,0.0007129,0.0007129,0.0007129
31,3090.28,0.87823,0.56915,1.11669,0.55226,0.41331,0.47344,0.31878,1.19511,1.11777,1.28447,0.000703,0.000703,0.000703
32,3192.62,0.87438,0.56275,1.11684,0.42402,0.45876,0.4316,0.27321,1.27085,1.18613,1.34345,0.0006931,0.0006931,0.0006931
33,3294.08,0.87874,0.55232,1.12066,0.52297,0.42127,0.46334,0.30847,1.24252,1.1986,1.3518,0.0006832,0.0006832,0.0006832
34,3395.18,0.86613,0.54914,1.10934,0.52715,0.37165,0.44886,0.2997,1.23877,1.30971,1.37118,0.0006733,0.0006733,0.0006733
35,3493.25,0.86748,0.55056,1.11543,0.36814,0.47146,0.39636,0.26564,1.24453,1.3394,1.33632,0.0006634,0.0006634,0.0006634
36,3594.39,0.86533,0.53778,1.11121,0.57352,0.36957,0.46348,0.31528,1.22269,1.23339,1.3301,0.0006535,0.0006535,0.0006535
37,3693.19,0.85384,0.53254,1.10103,0.4027,0.42332,0.38218,0.25555,1.21382,1.46696,1.33997,0.0006436,0.0006436,0.0006436
38,3791.17,0.85169,0.53432,1.10224,0.44703,0.51618,0.45005,0.2995,1.23833,1.39142,1.339,0.0006337,0.0006337,0.0006337
39,3890.72,0.84703,0.52234,1.10307,0.42974,0.45153,0.41879,0.28416,1.22664,1.45629,1.35509,0.0006238,0.0006238,0.0006238
40,3989.28,0.84455,0.51771,1.09646,0.49359,0.38109,0.41679,0.28381,1.27006,1.40183,1.33754,0.0006139,0.0006139,0.0006139
41,4088.63,0.84644,0.52631,1.10456,0.47653,0.40109,0.43929,0.29453,1.26894,1.18921,1.35262,0.000604,0.000604,0.000604
42,4187.58,0.83071,0.50547,1.09109,0.4266,0.43685,0.44734,0.30773,1.23578,1.25721,1.35806,0.0005941,0.0005941,0.0005941
43,4287.32,0.83035,0.50436,1.09494,0.44933,0.43152,0.43502,0.29194,1.19626,1.24788,1.32513,0.0005842,0.0005842,0.0005842
44,4384.01,0.82622,0.50474,1.08676,0.53377,0.44284,0.46311,0.30641,1.24134,1.16949,1.3542,0.0005743,0.0005743,0.0005743
45,4481.35,0.81781,0.49613,1.08309,0.43629,0.43399,0.43402,0.28784,1.26453,1.14232,1.36623,0.0005644,0.0005644,0.0005644
46,4580.4,0.81466,0.49282,1.08589,0.40931,0.43918,0.43055,0.29099,1.27231,1.18185,1.32388,0.0005545,0.0005545,0.0005545
47,4682.44,0.81392,0.48779,1.08067,0.4353,0.43056,0.45153,0.3039,1.21924,1.09537,1.27985,0.0005446,0.0005446,0.0005446
48,4780.91,0.80648,0.48115,1.07403,0.50073,0.44162,0.48603,0.3237,1.23883,1.09322,1.32513,0.0005347,0.0005347,0.0005347
49,4884.51,0.80689,0.4801,1.07493,0.42077,0.47249,0.44754,0.30545,1.2351,1.26463,1.32513,0.0005248,0.0005248,0.0005248
50,4988.61,0.79981,0.47265,1.07195,0.4892,0.37297,0.43889,0.29957,1.25909,1.17409,1.35424,0.0005149,0.0005149,0.0005149
51,5090.11,0.78515,0.46478,1.06516,0.37141,0.47003,0.41118,0.28148,1.2242,1.19661,1.29426,0.000505,0.000505,0.000505
52,5196.48,0.79003,0.46497,1.06631,0.39057,0.43452,0.42427,0.28389,1.236,1.15322,1.32883,0.0004951,0.0004951,0.0004951
53,5301.85,0.79323,0.46321,1.06959,0.49247,0.43618,0.44943,0.30106,1.26147,1.15007,1.33428,0.0004852,0.0004852,0.0004852
54,5403.18,0.78834,0.46113,1.06666,0.3569,0.44275,0.41684,0.27713,1.29236,1.21453,1.34824,0.0004753,0.0004753,0.0004753
55,5505.37,0.77209,0.44921,1.05867,0.48343,0.43501,0.46723,0.32213,1.22726,1.31621,1.30957,0.0004654,0.0004654,0.0004654
56,5606.15,0.77218,0.45288,1.05818,0.51628,0.41911,0.46071,0.31492,1.26443,1.22849,1.35059,0.0004555,0.0004555,0.0004555
57,5706.61,0.77169,0.44777,1.05297,0.46474,0.39592,0.44124,0.30038,1.26436,1.26518,1.34165,0.0004456,0.0004456,0.0004456
58,5806.57,0.76951,0.44411,1.05747,0.4902,0.43554,0.46109,0.3158,1.25992,1.13965,1.36596,0.0004357,0.0004357,0.0004357
59,5911.98,0.76112,0.44349,1.05245,0.50784,0.4012,0.43716,0.28737,1.36704,1.44546,1.43406,0.0004258,0.0004258,0.0004258
60,6017.08,0.76062,0.43847,1.05177,0.44625,0.40614,0.43072,0.28275,1.28973,1.32841,1.35372,0.0004159,0.0004159,0.0004159
61,6123.27,0.76119,0.43197,1.05025,0.47267,0.44614,0.44223,0.29335,1.26581,1.19708,1.34191,0.000406,0.000406,0.000406
62,6230.09,0.7599,0.43548,1.04876,0.52139,0.40189,0.44551,0.30058,1.27768,1.2353,1.35698,0.0003961,0.0003961,0.0003961
63,6336.59,0.74586,0.42616,1.05106,0.43578,0.40502,0.42847,0.28732,1.27058,1.29075,1.35243,0.0003862,0.0003862,0.0003862
64,6441.43,0.75641,0.42844,1.04793,0.42579,0.40571,0.40316,0.27137,1.27947,1.42038,1.36774,0.0003763,0.0003763,0.0003763
65,6542.43,0.74332,0.42069,1.04064,0.45153,0.40543,0.43386,0.29727,1.25977,1.28988,1.34252,0.0003664,0.0003664,0.0003664
66,6645.76,0.73826,0.41409,1.03221,0.46141,0.43412,0.44086,0.29178,1.27038,1.20527,1.34486,0.0003565,0.0003565,0.0003565
67,6747.03,0.74374,0.41658,1.04234,0.49875,0.42753,0.43815,0.2804,1.32572,1.31887,1.38993,0.0003466,0.0003466,0.0003466
68,6851.08,0.73287,0.40867,1.0364,0.53195,0.40832,0.45176,0.30509,1.27736,1.32004,1.34824,0.0003367,0.0003367,0.0003367
69,6957.23,0.72997,0.41092,1.03453,0.44324,0.41556,0.43111,0.28398,1.31285,1.2796,1.39793,0.0003268,0.0003268,0.0003268
70,7062.88,0.73314,0.40781,1.03522,0.46453,0.44809,0.44624,0.30289,1.27975,1.23982,1.37182,0.0003169,0.0003169,0.0003169
71,7168.87,0.72428,0.40361,1.03147,0.49026,0.41778,0.45073,0.30661,1.29065,1.25906,1.37911,0.000307,0.000307,0.000307
72,7274.63,0.7294,0.40425,1.0344,0.45141,0.45166,0.44234,0.30251,1.25,1.29128,1.32896,0.0002971,0.0002971,0.0002971
73,7375.77,0.71562,0.39804,1.02749,0.54977,0.3816,0.46497,0.31562,1.2592,1.28117,1.34647,0.0002872,0.0002872,0.0002872
74,7475.6,0.71427,0.39263,1.02647,0.44877,0.43845,0.45528,0.30781,1.26855,1.27289,1.3625,0.0002773,0.0002773,0.0002773
75,7580.31,0.7031,0.38944,1.02108,0.50586,0.39206,0.4473,0.30501,1.26448,1.35625,1.34757,0.0002674,0.0002674,0.0002674
76,7681.41,0.70809,0.3863,1.02268,0.45681,0.44253,0.46184,0.31278,1.29699,1.36748,1.36662,0.0002575,0.0002575,0.0002575
77,7780.36,0.70388,0.38818,1.02237,0.44109,0.40496,0.42703,0.28871,1.30732,1.39615,1.3751,0.0002476,0.0002476,0.0002476
78,7881.6,0.70051,0.38233,1.02413,0.4602,0.39489,0.43575,0.29208,1.31901,1.36224,1.40048,0.0002377,0.0002377,0.0002377
