#{"t_start": 1758872154.709798, "env_id": "None"}
r,l,t,success,distance
-116.575415,500,5.172301,False,0.14857296645641327
-96.615591,500,7.716851,False,0.13366776704788208
4.916107,1,7.726825,True,0.028643596917390823
-104.642524,500,10.319818,False,0.16519887745380402
-116.302229,500,12.835096,False,0.21011605858802795
-119.721722,500,16.072014,False,0.3163983225822449
-199.439196,500,19.058167,False,0.31745508313179016
-206.534165,500,22.05809,False,0.3439445197582245
-112.404589,500,25.14595,False,0.15531885623931885
-121.828124,500,28.390069,False,0.20190483331680298
-143.248963,500,32.141078,False,0.23388448357582092
-116.934565,500,36.230459,False,0.17605653405189514
-207.958961,500,39.352879,False,0.38580241799354553
-75.277209,500,42.042323,False,0.12393473088741302
-75.182492,500,45.193476,False,0.09792695939540863
-124.817602,500,48.005442,False,0.28178146481513977
-237.342034,500,50.860556,False,0.3823334276676178
-98.451613,500,53.787527,False,0.11538872122764587
-199.829013,500,56.842237,False,0.3677273392677307
-140.222359,500,59.545959,False,0.22714565694332123
-122.014767,500,62.621995,False,0.15348678827285767
-169.816783,500,65.452803,False,0.36832159757614136
-116.557784,500,68.325774,False,0.18414056301116943
-103.473953,500,71.321098,False,0.1859470009803772
-224.16792,500,74.771179,False,0.4060709774494171
-178.928156,500,77.654434,False,0.24820870161056519
-132.800253,500,80.673268,False,0.10644331574440002
-44.021347,260,81.740578,True,0.04894503578543663
4.072152,8,81.774657,True,0.04953628405928612
-119.009626,500,84.521395,False,0.20158308744430542
-86.403458,500,87.339342,False,0.1489364504814148
-110.808993,500,90.261722,False,0.15162789821624756
-84.467902,500,99.439731,False,0.07439030706882477
-78.46311,500,102.570698,False,0.08239509910345078
-168.846723,500,105.765132,False,0.3399273157119751
-117.986598,500,108.579406,False,0.15315942466259003
-160.918796,500,111.317054,False,0.25144779682159424
-119.128153,500,114.171947,False,0.1455785483121872
-166.485022,500,117.068163,False,0.3291599750518799
-79.485222,500,119.941397,False,0.09183122962713242
-116.578779,500,122.953994,False,0.2444823533296585
-131.224841,500,125.92048,False,0.27342653274536133
-94.695712,500,128.828764,False,0.1600751429796219
-120.009898,500,131.774153,False,0.07032538205385208
-138.467725,500,135.256704,False,0.2741006910800934
3.727145,11,135.308598,True,0.04807266965508461
-85.411866,500,138.359298,False,0.11718342453241348
-170.251407,500,141.515734,False,0.33029961585998535
-120.421337,500,144.373595,False,0.1694687157869339
-2.525246,47,144.569542,True,0.0499357245862484
-120.627717,500,147.519677,False,0.18900392949581146
-146.161225,500,150.423449,False,0.18915754556655884
-29.342491,229,151.306611,True,0.048992469906806946
4.909028,1,151.323797,True,0.04415219649672508
-141.155549,500,154.230589,False,0.19424693286418915
-147.667432,500,157.22249,False,0.23180562257766724
-123.340273,500,160.170174,False,0.22965854406356812
-113.586353,500,163.036264,False,0.12017049640417099
-90.65308,500,165.916841,False,0.18955057859420776
-24.887606,167,167.586538,True,0.04840480536222458
-78.989439,500,170.538114,False,0.055140841752290726
-121.158903,500,173.57785,False,0.1630290001630783
-124.185008,500,176.406778,False,0.3305019736289978
-78.041219,500,179.103907,False,0.07320213317871094
-69.324354,354,180.281452,True,0.04746577888727188
-30.098471,225,182.10764,True,0.046195462346076965
-91.390887,500,184.986247,False,0.07007717341184616
-98.510471,500,194.072014,False,0.16833440959453583
-84.077551,500,197.00718,False,0.08572220057249069
-130.215461,500,199.952374,False,0.18135742843151093
-105.59246,500,203.02035,False,0.2974744737148285
-108.155509,500,205.964133,False,0.18199464678764343
-168.8537,500,208.850209,False,0.281326562166214
-89.155628,500,211.659885,False,0.18838360905647278
-24.819818,160,212.179065,True,0.04835499823093414
-3.406964,67,212.42556,True,0.046996597200632095
-114.00493,500,215.283214,False,0.08212172985076904
-116.64286,500,218.113612,False,0.17706428468227386
-140.966409,500,221.032558,False,0.19743044674396515
-81.693697,500,223.928947,False,0.13856597244739532
-136.045909,500,226.881612,False,0.3103961646556854
4.909283,1,226.898685,True,0.03880169987678528
-81.000964,500,230.081268,False,0.22152043879032135
-118.511806,500,233.084862,False,0.299255907535553
-107.944485,500,236.00418,False,0.29215314984321594
-140.064027,500,239.01404,False,0.07582360506057739
-124.084441,500,242.049925,False,0.30441975593566895
-25.865288,184,242.744312,True,0.04980958625674248
-92.801674,500,245.710497,False,0.05609307065606117
-79.433382,500,248.628268,False,0.07157279551029205
-219.144749,500,251.546448,False,0.4157261848449707
4.915664,1,251.556636,True,0.043202850967645645
-126.414048,500,254.716902,False,0.21049775183200836
-105.172934,500,257.609014,False,0.14634571969509125
-130.226678,500,260.489589,False,0.22418223321437836
-117.673242,500,263.492906,False,0.16152061522006989
0.160542,37,263.66408,True,0.045498140156269073
-140.646473,500,266.710058,False,0.1955651491880417
-9.817156,104,267.089483,True,0.048832863569259644
-132.388417,500,269.967892,False,0.18062898516654968
-36.751857,240,271.952863,True,0.04895184934139252
-89.486212,500,275.367721,False,0.11115783452987671
-147.682253,500,278.270099,False,0.25779032707214355
-137.909323,500,287.08616,False,0.31159889698028564
-120.230045,500,290.012918,False,0.20230284333229065
-147.151381,500,292.956228,False,0.32502225041389465
-164.096191,500,295.914227,False,0.3785156011581421
-12.150196,123,296.416727,True,0.04995141550898552
-159.654431,500,299.410254,False,0.3532288074493408
-34.862334,216,300.235229,True,0.049711596220731735
4.902622,1,300.246214,True,0.04497639834880829
-146.042878,500,303.108749,False,0.24777179956436157
-4.204427,61,303.313063,True,0.04875379800796509
-147.15363,500,306.147026,False,0.29411831498146057
-150.144742,500,309.050114,False,0.20413286983966827
-112.355803,500,312.017242,False,0.1404372602701187
-98.026138,500,315.383693,False,0.20803388953208923
