#{"t_start": 1758968144.5348372, "env_id": "None"}
r,l,t,success,distance
-314.262302,500,3.170675,False,0.6485605835914612
-243.263617,500,7.049597,False,0.5571077466011047
-288.723981,500,10.918597,False,0.5910782814025879
-144.230934,500,14.716646,False,0.3850168287754059
-199.00847,500,18.591279,False,0.48359036445617676
-165.694747,500,22.609755,False,0.4766351282596588
-3.060036,55,22.874173,True,0.049993846565485
-197.144542,500,26.890158,False,0.4759179949760437
-212.466335,500,31.056022,False,0.4828743040561676
-238.622521,500,35.073992,False,0.45639485120773315
-220.108831,500,38.991698,False,0.5054892897605896
-127.328509,500,43.012687,False,0.4092532992362976
-188.60103,500,47.222089,False,0.4490748345851898
-19.668269,132,49.260253,True,0.048702456057071686
-167.003291,500,53.774246,False,0.574876606464386
-181.762676,500,57.96662,False,0.47420987486839294
-203.72725,500,61.940622,False,0.5840669274330139
-3.212306,53,62.234581,True,0.047114286571741104
-268.734437,500,66.247888,False,0.42807677388191223
-191.242722,500,70.601151,False,0.5734267830848694
-202.761832,500,75.12418,False,0.45111340284347534
-273.04795,500,79.219687,False,0.4560297727584839
-182.615083,500,82.145865,False,0.45383748412132263
-192.753057,500,86.48894,False,0.48016443848609924
-177.607511,500,90.747416,False,0.5148361325263977
-169.654553,500,94.803786,False,0.4482874572277069
-216.569486,500,98.858104,False,0.5253714919090271
-144.605285,500,103.063476,False,0.4325345754623413
-204.268886,500,107.177592,False,0.3014887869358063
-154.921346,500,111.595454,False,0.41363096237182617
-197.662052,500,115.680902,False,0.5508706569671631
-348.774339,500,120.026969,False,0.8809152841567993
-166.328822,500,134.687881,False,0.4485229551792145
-270.213883,500,138.958344,False,0.5946707129478455
-179.411963,500,143.210045,False,0.2910991311073303
-182.333965,500,147.348961,False,0.3792969286441803
-265.822749,500,151.828172,False,0.6243153810501099
-237.431906,500,155.947712,False,0.7038879990577698
-242.269809,500,160.280495,False,0.5630306005477905
-202.025416,500,164.514932,False,0.5088898539543152
-303.209812,500,168.989537,False,0.8545611500740051
-160.633399,500,173.339098,False,0.45654967427253723
