#{"t_start": 1758473432.8123698, "env_id": null}
r,l,t,success,distance
-96.348555,500,2.330037,False,0.15505114197731018
-125.553091,500,3.177613,False,0.160960391163826
-173.055863,500,3.919084,False,0.29673492908477783
-178.533264,500,4.653985,False,0.3003532290458679
-124.731913,500,5.389979,False,0.22441938519477844
-185.85329,500,40.505222,False,0.3922870457172394
-110.354,500,76.580138,False,0.16686362028121948
-119.806776,500,101.507539,False,0.0789804458618164
-114.842915,500,129.749227,False,0.15575627982616425
-34.912326,286,145.397042,True,0.04883594810962677
-111.442922,500,170.208861,False,0.24573275446891785
-35.351326,268,184.183976,True,0.04892135411500931
-81.03841,500,209.846882,False,0.09959197044372559
-54.156467,391,229.193779,True,0.04975592717528343
4.926394,1,229.199163,True,0.01898304931819439
-16.303344,154,237.418367,True,0.049818042665719986
-127.417351,500,262.901661,False,0.19485020637512207
-36.189989,297,278.213792,True,0.04993649572134018
-8.309732,68,281.458967,True,0.047646619379520416
-136.970882,500,306.820936,False,0.22487561404705048
-101.812532,500,336.28757,False,0.19284112751483917
-86.904075,500,372.004587,False,0.11807750910520554
-96.135455,500,408.197453,False,0.2952744662761688
4.010459,8,409.385891,True,0.04909336566925049
-125.344694,500,445.93947,False,0.1892102211713791
-66.073631,500,488.252805,False,0.08002062141895294
-12.182713,134,499.350091,True,0.04793083295226097
-13.305347,67,506.066918,True,0.048536885529756546
-13.91863,97,514.68061,True,0.043379079550504684
-77.660361,500,557.240029,False,0.12158267199993134
-94.299384,500,600.094618,False,0.20329609513282776
-121.224285,500,641.884672,False,0.1335827261209488
-138.759758,500,686.577431,False,0.1846863478422165
-123.408268,500,727.052233,False,0.2118350714445114
-7.207676,92,734.85725,True,0.04927260801196098
0.180288,33,737.498016,True,0.04891900718212128
-79.858281,500,778.430188,False,0.12231941521167755
-64.448302,500,819.521625,False,0.07587658613920212
-89.972789,500,860.410475,False,0.11218142509460449
-46.535038,249,881.569861,True,0.049072861671447754
-105.407839,500,922.547164,False,0.12210186570882797
-128.49706,500,965.134184,False,0.18374896049499512
-118.395968,500,1008.029082,False,0.19176343083381653
-76.342597,500,1049.561838,False,0.10890068113803864
-95.507626,500,1090.598956,False,0.1368945986032486
-21.778779,186,1101.350433,True,0.048543475568294525
-79.737255,500,1128.881757,False,0.09134118258953094
2.613204,21,1129.784299,True,0.04977671056985855
-90.660544,500,1158.41405,False,0.0984749123454094
4.907672,1,1158.421067,True,0.03805920481681824
-6.314907,90,1162.9557,True,0.04975118488073349
-83.569087,500,1191.079519,False,0.07790768891572952
-31.914807,235,1203.427321,True,0.04904046282172203
-65.930559,500,1231.427515,False,0.07414654642343521
-4.324595,56,1233.961195,True,0.04847429692745209
3.307078,17,1234.823016,True,0.04859435185790062
-177.598637,500,1265.704896,False,0.31562066078186035
-46.874306,226,1284.957756,True,0.049454960972070694
-72.046446,500,1325.128011,False,0.08074568212032318
-73.125805,500,1365.662545,False,0.13353370130062103
-50.667435,468,1403.736528,True,0.047650404274463654
-103.547445,500,1445.970418,False,0.12078724056482315
-79.456632,500,1486.951719,False,0.11752606928348541
2.216091,22,1488.283173,True,0.04889442026615143
-9.80541,116,1497.577073,True,0.04944301024079323
-5.245322,87,1506.31865,True,0.04773349314928055
-13.277691,113,1517.297623,True,0.049139536917209625
-51.800216,500,1559.606169,False,0.06743206828832626
-4.748429,91,1567.522324,True,0.0490911565721035
-69.944986,500,1595.768926,False,0.11326839029788971
-3.020131,58,1599.486555,True,0.04995754733681679
-20.548344,135,1608.462163,True,0.04872506111860275
-14.035132,105,1614.954907,True,0.04737657681107521
-24.475058,147,1623.787812,True,0.048024073243141174
-1.328849,43,1626.58273,True,0.04874282330274582
-3.423647,74,1630.247731,True,0.049828145653009415
-5.916148,66,1633.834201,True,0.049484577029943466
-14.443097,71,1638.337266,True,0.048229023814201355
-11.405999,128,1646.381896,True,0.04708298668265343
-10.343871,114,1652.540844,True,0.04859950765967369
-141.193442,500,1681.241669,False,0.12825274467468262
-113.818623,500,1711.043566,False,0.20500366389751434
-4.746505,68,1715.441289,True,0.049961019307374954
1.950359,24,1716.393796,True,0.04788285121321678
-26.567314,189,1727.235324,True,0.04920830577611923
-16.823291,101,1732.802853,True,0.04864748567342758
-2.446908,43,1735.623569,True,0.047932546585798264
-64.525612,500,1763.950632,False,0.07749979197978973
-79.758632,500,1794.504775,False,0.09471143782138824
-87.897608,500,1825.11893,False,0.12477923929691315
-1.335748,47,1827.648969,True,0.0495675764977932
-12.63075,63,1831.397899,True,0.04902608320116997
-4.765134,54,1834.050138,True,0.04965631291270256
1.759343,23,1834.90199,True,0.04834269359707832
-126.622498,500,1863.462376,False,0.20204651355743408
-27.396528,121,1869.604716,True,0.04737281799316406
-8.932214,60,1873.124859,True,0.049455054104328156
-0.472402,36,1874.889666,True,0.049625296145677567
-139.007023,500,1902.179672,False,0.22373101115226746
-81.530418,500,1931.573062,False,0.13123837113380432
-69.567259,485,1958.647995,True,0.04960772395133972
3.829663,9,1959.518556,True,0.0477437898516655
-68.075736,500,1987.221644,False,0.09149648994207382
2.444505,18,1988.093546,True,0.049457892775535583
1.797107,23,1988.97753,True,0.048520397394895554
3.551216,12,1989.825491,True,0.049409039318561554
-61.244534,500,2017.759735,False,0.07314009964466095
-87.065477,500,2050.255224,False,0.12171151489019394
-13.656525,120,2057.25121,True,0.048858970403671265
-18.133213,158,2066.494541,True,0.04852258786559105
-21.542288,105,2073.384214,True,0.04982152208685875
-6.537524,52,2076.071732,True,0.04932097718119621
-0.876501,39,2077.762743,True,0.046808578073978424
-4.683416,53,2081.270242,True,0.047717783600091934
-9.96705,78,2084.761686,True,0.049830880016088486
-5.827246,48,2088.092254,True,0.04612618312239647
-2.478949,39,2091.436367,True,0.04601416736841202
-4.351705,56,2094.497137,True,0.049788400530815125
4.3494,6,2095.444559,True,0.04983827844262123
-2.553968,49,2098.679627,True,0.047957438975572586
-10.19484,76,2103.74617,True,0.04753386974334717
-92.739745,500,2132.485389,False,0.12050504982471466
-5.578397,57,2135.158312,True,0.04958125948905945
-0.008858,34,2137.997778,True,0.04993590712547302
-44.00829,261,2153.700226,True,0.04921320080757141
-9.045388,67,2157.356985,True,0.0462617389857769
3.485231,12,2158.3114,True,0.048462118953466415
0.396925,32,2160.368794,True,0.04964940994977951
-6.663211,68,2164.744535,True,0.04871063679456711
-21.58692,230,2182.256263,True,0.04935217648744583
-3.357406,38,2185.951902,True,0.045648664236068726
-7.579646,62,2190.961816,True,0.0493699349462986
-44.020182,170,2204.794895,True,0.046612828969955444
1.344969,21,2207.746123,True,0.04810713231563568
0.80895,29,2209.134739,True,0.04995594173669815
-5.582006,55,2214.612986,True,0.04814507067203522
-157.990784,500,2258.40038,False,0.27176207304000854
-30.14765,159,2271.617709,True,0.04890195280313492
-2.749112,44,2275.418837,True,0.04878668859601021
-13.221224,74,2280.532848,True,0.04854600504040718
-13.962292,99,2289.682891,True,0.04893743246793747
-0.509999,37,2292.1898,True,0.04938979819417
-2.089066,42,2296.050627,True,0.04810599982738495
-18.564025,99,2304.004402,True,0.04988802596926689
2.117963,18,2305.309418,True,0.04664359241724014
1.355543,35,2307.976469,True,0.0499715618789196
-1.388853,32,2310.881316,True,0.04783913493156433
-5.017407,62,2316.156249,True,0.04829429090023041
-1.856631,43,2320.043617,True,0.049158427864313126
-25.623071,239,2339.003906,True,0.04990437626838684
0.991581,31,2340.258627,True,0.04944061115384102
-6.282098,62,2345.740533,True,0.046808887273073196
-9.696462,75,2352.083549,True,0.04802817106246948
-179.798593,500,2403.812918,False,0.3156493306159973
-41.885896,186,2421.65558,True,0.0490134134888649
