#{"t_start": 1758473433.49822, "env_id": null}
r,l,t,success,distance
-82.684977,500,661.828006,False,0.09433676302433014
-55.368782,500,662.230547,False,0.06714491546154022
-105.6947,500,662.581417,False,0.18286463618278503
-81.032976,500,662.894506,False,0.08805174380540848
-84.26462,500,663.213172,False,0.06900627911090851
-61.339657,500,663.523473,False,0.0758543461561203
-33.205556,276,663.692138,True,0.049039777368307114
-134.92095,500,664.008179,False,0.25475257635116577
-91.114562,500,664.315086,False,0.14033205807209015
-89.778462,500,664.639756,False,0.1365146040916443
-112.085773,500,1602.810777,False,0.1815614402294159
-7.224887,65,1602.843902,True,0.048418108373880386
-103.742442,500,1603.068561,False,0.17326398193836212
-1.515102,45,1603.091138,True,0.04862666875123978
-83.393265,500,1603.309192,False,0.16395612061023712
-12.599144,88,1603.352018,True,0.049173515290021896
-79.527806,500,1603.621472,False,0.1177138015627861
-65.823262,500,1603.850844,False,0.10476329177618027
-139.929463,500,1604.07666,False,0.24355097115039825
-8.114739,62,1604.109193,True,0.04956002160906792
-4.192156,53,2416.494165,True,0.049599479883909225
-4.537505,50,2416.525247,True,0.049653783440589905
3.795034,10,2416.535502,True,0.0466085709631443
2.246817,22,2416.553999,True,0.04741786792874336
-14.121193,109,2416.620808,True,0.049061309546232224
1.686823,25,2416.641826,True,0.04925758019089699
-30.101299,185,2416.771464,True,0.04944630339741707
0.625808,31,2416.796154,True,0.0488823838531971
-3.334555,71,2416.842621,True,0.04974847659468651
-1.124763,33,2416.868589,True,0.04555920138955116
-61.78871,500,3146.028416,False,0.057771168649196625
-10.075274,90,3146.095444,True,0.04989688843488693
4.884713,1,3146.101151,True,0.04351624846458435
-7.309464,80,3146.153625,True,0.049630630761384964
-7.551874,75,3146.201217,True,0.04863344132900238
-21.990872,139,3146.28732,True,0.049382541328668594
-3.588049,53,3146.32073,True,0.04958873987197876
-8.731083,77,3146.369777,True,0.04921141266822815
-2.100228,47,3146.40219,True,0.04998932033777237
-6.468409,62,3146.442125,True,0.04807964712381363
2.132612,24,4177.022503,True,0.04939280450344086
4.378951,5,4177.030986,True,0.04936106503009796
-99.424399,500,4177.346282,False,0.16410845518112183
-1.700488,53,4177.382727,True,0.048167817294597626
-9.127645,77,4177.437816,True,0.04821278527379036
0.657781,30,4177.460623,True,0.04999242350459099
-21.495379,109,4177.536478,True,0.0489312969148159
-21.021581,133,4177.625027,True,0.04977196827530861
3.490572,13,4177.640224,True,0.04892263934016228
-1.217622,43,4177.671192,True,0.049667660146951675
-7.780907,72,4179.049374,True,0.049774933606386185
-1.755986,54,4179.087896,True,0.04941457882523537
-8.012305,54,4179.126742,True,0.04606575146317482
-17.285569,113,4179.200207,True,0.04861072078347206
-17.012798,142,4179.292828,True,0.04864998161792755
4.902467,1,4179.298577,True,0.04718645662069321
-2.862727,51,4179.335539,True,0.04775182530283928
2.41607,19,4179.35312,True,0.048459962010383606
-12.816194,88,4179.411094,True,0.04930921643972397
-6.423777,62,4179.451527,True,0.04935048520565033
5.608664,False,0.1319282352924347
-10.155543,78,1440.93085,True,0.04928404837846756
-89.504226,500,1483.255207,False,0.17117826640605927
-22.570973,189,1499.103503,True,0.04818208888173103
-30.481098,264,1524.085253,True,0.04986664652824402
-12.630349,148,1536.230659,True,0.047259461134672165
-78.296722,500,1575.18224,False,0.09749258309602737
-10.865545,116,1581.499308,True,0.049691855907440186
-74.365469,453,1608.6907,True,0.047321319580078125
-8.214126,98,1614.28478,True,0.04996563121676445
-75.969206,500,1643.411837,False,0.10202135145664215
0.154712,32,1645.736845,True,0.047779738903045654
3.736293,11,1646.628031,True,0.048892904072999954
-150.616894,500,1674.573254,False,0.24602174758911133
-75.988878,500,1705.745852,False,0.08465874940156937
1.571943,21,1706.581645,True,0.04625559225678444
-74.011957,500,1734.908539,False,0.10652163624763489
4.905639,1,1734.914089,True,0.038880541920661926
-14.532757,112,1741.281623,True,0.04671771079301834
-118.094578,500,1770.775908,False,0.19731217622756958
-8.236302,88,1775.535241,True,0.047998569905757904
-8.276591,89,1780.886893,True,0.04959506541490555
-7.358762,105,1787.484843,True,0.04955887421965599
-7.635022,101,1793.852634,True,0.047410883009433746
-0.560794,40,1796.492101,True,0.049306731671094894
-19.07061,103,1801.686863,True,0.04825450852513313
-32.475193,179,1814.654237,True,0.04791133105754852
-14.878277,143,1822.634245,True,0.049894265830516815
0.930898,34,1824.45256,True,0.049856774508953094
0.295845,29,1825.372799,True,0.049738477915525436
0.099156,26,1827.062378,True,0.04755939543247223
4.514541,4,1827.071418,True,0.04929954186081886
2.962085,19,1828.807091,True,0.04936312511563301
-0.56769,36,1830.779712,True,0.04913446307182312
-167.638775,500,1858.376771,False,0.2825060188770294
-15.570925,124,1865.40423,True,0.0476672500371933
-28.668227,210,1876.916337,True,0.04704517126083374
-2.854419,38,1878.649517,True,0.04997103661298752
-4.636414,57,1882.116848,True,0.04815904051065445
-7.079199,60,1885.61109,True,0.0495259165763855
-76.15721,500,1913.929294,False,0.10393019765615463
-97.392882,500,1941.514561,False,0.07275526970624924
-84.0296,500,1969.274422,False,0.12229423969984055
-14.266814,99,1975.464968,True,0.04831712692975998
-11.51262,103,1981.272081,True,0.04957688972353935
-5.602685,92,1986.532572,True,0.04943178966641426
-90.179707,500,2013.571769,False,0.12554284930229187
1.767207,28,2016.007799,True,0.04923195391893387
-52.817597,229,2030.895565,True,0.04789433628320694
-8.654177,85,2035.965434,True,0.04887370020151138
-2.570208,52,2040.046063,True,0.048319824039936066
-22.657274,229,2053.187508,True,0.049349650740623474
-0.159668,32,2055.040913,True,0.047727927565574646
-20.323279,105,2061.234793,True,0.04997270554304123
-3.347628,57,2064.962567,True,0.04725126549601555
-2.530327,50,2067.726865,True,0.04820295795798302
1.312441,30,2070.038692,True,0.04932460933923721
1.717838,26,2071.827502,True,0.04909103736281395
1.728398,25,2072.743513,True,0.04873029142618179
-21.89981,113,2078.871679,True,0.04900373890995979
-69.310385,500,2110.842782,False,0.09011848270893097
-0.830454,35,2112.591813,True,0.04898037761449814
-19.3638,178,2122.697659,True,0.04813963919878006
-29.075026,221,2135.371283,True,0.047938596457242966
1.779228,22,2136.261846,True,0.04954947158694267
-44.639463,387,2159.61857,True,0.04999380558729172
1.346035,25,2161.578274,True,0.04804624989628792
-52.531802,500,2200.074673,False,0.05682768672704697
-46.654918,236,2221.821405,True,0.04578468203544617
1.102025,26,2223.204287,True,0.04723476618528366
-7.326143,78,2230.145338,True,0.04928019642829895
-1.148547,46,2236.280638,True,0.049927327781915665
-3.068311,46,2240.356737,True,0.04964526742696762
-1.77585,45,2244.23678,True,0.049693115055561066
4.18924,6,2244.253948,True,0.049117062240839005
-15.267163,71,2250.666629,True,0.04366378113627434
-63.102982,387,2282.089808,True,0.04725911468267441
-2.582556,62,2287.313959,True,0.04954250901937485
0.838762,29,2289.907572,True,0.048053089529275894
-13.446361,132,2300.171052,True,0.04917159676551819
-21.313801,115,2309.742719,True,0.04995417222380638
1.98776,18,2311.122258,True,0.04699442535638809
-8.598823,90,2318.989748,True,0.048772819340229034
-9.683254,94,2326.577087,True,0.049624938517808914
-3.444962,56,2330.314175,True,0.04597507044672966
-5.951466,54,2334.34521,True,0.04807416722178459
-19.336127,183,2349.663298,True,0.04978394880890846
-4.897037,52,2353.602522,True,0.048839669674634933
-42.305088,377,2394.83761,True,0.049528587609529495
-6.230841,76,2401.067556,True,0.04976082593202591
-1.398343,44,2405.660192,True,0.0486365407705307
-18.65606,140,2419.237983,True,0.049728792160749435
2.079484,19,2420.591454,True,0.04927753284573555
3.133178,15,2421.901093,True,0.04875105991959572
3.963141,9,2423.138192,True,0.047804296016693115
-21.488308,104,2430.899329,True,0.046506479382514954
4.88288,1,2430.905653,True,0.04327572509646416
-18.117095,134,2442.394301,True,0.04977070540189743
-131.745883,500,2471.382319,False,0.07957923412322998
4.636682,3,2471.393248,True,0.04960072413086891
-0.791547,47,2474.204038,True,0.048644568771123886
-10.381153,90,2479.792602,True,0.04996633157134056
-38.488698,152,2488.875068,True,0.04961921274662018
-2.809362,46,2491.734204,True,0.04638589918613434
-87.371406,500,2520.987201,False,0.12097877264022827
-3.796978,55,2524.688271,True,0.04998790845274925
-26.647113,132,2532.006328,True,0.04941751807928085
-12.708934,107,2538.518308,True,0.047628484666347504
1.971584,25,2539.590253,True,0.04825711250305176
-15.439578,159,2548.929861,True,0.048631828278303146
-6.726839,62,2552.689474,True,0.04843319579958916
0.31481,28,2554.510059,True,0.04968098923563957
0.375469,30,2556.381768,True,0.046499669551849365
-4.661362,58,2559.203824,True,0.04933768883347511
-3.415993,51,2562.050115,True,0.04928416758775711
-3.79985,54,2565.684906,True,0.04794685170054436
-72.599727,500,2594.02834,False,0.06246592476963997
1.938393,24,2595.825014,True,0.04944218322634697
